;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
2-9-2015;6:00-6:14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-9-2015;6:30-6:44;0;1;0;0;2;1;0;6;0;0;0;0;0;0;0;0;1;9
2-9-2015;6:45-6:59;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5
2-9-2015;7:00-7:14;1;4;0;1;0;2;0;1;0;0;0;0;0;0;1;0;0;8
2-9-2015;7:15-7:29;0;2;2;1;0;7;0;0;0;0;0;0;0;2;0;0;0;10
2-9-2015;7:30-7:44;0;21;1;2;1;10;0;1;0;0;0;0;0;0;2;0;0;34
2-9-2015;7:45-7:59;10;7;2;1;1;7;0;4;0;0;0;0;3;5;2;1;4;17
2-9-2015;8:00-8:14;3;11;1;1;4;19;0;14;0;0;0;0;1;0;2;0;2;48
2-9-2015;8:15-8:29;11;9;2;1;4;19;0;11;0;0;0;0;1;2;4;3;5;42
2-9-2015;8:30-8:44;5;7;4;1;1;4;0;8;0;0;0;0;6;1;1;2;1;19
2-9-2015;8:45-8:59;17;9;2;0;2;3;0;3;0;0;0;0;1;4;6;1;10;14
2-9-2015;9:00-9:14;6;6;1;0;0;6;1;4;0;0;0;0;0;3;2;0;3;16
2-9-2015;9:15-9:29;6;6;1;0;1;3;0;4;0;0;0;0;3;1;0;0;1;16
2-9-2015;9:30-9:44;1;6;0;0;2;3;0;4;0;0;0;1;2;0;0;0;1;12
2-9-2015;9:45-9:59;2;18;1;1;4;5;0;3;0;0;0;0;1;0;1;0;1;31
2-9-2015;10:00-10:14;6;12;5;0;2;6;0;8;0;0;0;0;2;0;0;1;4;32
2-9-2015;10:15-10:29;0;5;5;0;3;4;0;0;0;0;0;1;1;1;0;0;2;12
2-9-2015;10:30-10:44;13;47;56;1;5;9;0;28;0;0;2;0;3;5;2;1;6;140
2-9-2015;10:45-10:59;5;111;41;11;3;8;0;13;0;0;1;5;0;2;6;2;2;174
2-9-2015;11:00-11:14;4;108;53;4;3;10;0;1;0;0;0;0;0;3;2;1;8;169
2-9-2015;11:15-11:29;9;29;70;6;2;7;0;17;0;0;0;0;0;1;2;1;6;130
2-9-2015;11:30-11:44;8;38;46;3;1;4;0;13;0;0;0;0;0;3;2;3;4;101
2-9-2015;11:45-11:59;10;61;38;2;7;23;1;47;0;0;1;1;1;0;3;2;3;178
2-9-2015;12:00-12:14;11;44;29;1;7;17;0;33;0;0;0;0;0;4;4;1;2;131
2-9-2015;12:15-12:29;11;101;64;1;6;25;0;49;0;0;0;0;1;3;2;1;9;241
2-9-2015;12:30-12:44;32;90;65;4;6;20;0;11;0;0;0;3;1;6;1;1;4;212
2-9-2015;12:45-12:59;109;215;89;12;6;3;1;11;0;0;1;0;7;9;4;3;26;396
2-9-2015;13:00-13:14;18;179;84;19;6;7;0;20;0;0;0;3;0;1;4;10;12;303
2-9-2015;13:15-13:29;2;100;120;3;3;7;0;3;0;0;0;0;1;4;1;1;9;222
2-9-2015;13:30-13:44;41;44;84;15;5;6;0;9;0;0;0;0;0;4;5;1;12;182
2-9-2015;13:45-13:59;4;48;10;7;10;7;0;32;0;0;0;0;0;0;0;0;3;115
2-9-2015;14:00-14:14;24;153;98;28;12;20;0;24;0;0;0;1;1;7;2;6;8;334
2-9-2015;14:15-14:29;23;126;150;17;6;13;0;14;0;0;1;0;2;12;1;3;18;312
2-9-2015;14:30-14:44;59;18;105;2;4;10;0;12;0;0;0;2;3;5;4;2;12;182
2-9-2015;14:45-14:59;6;39;35;7;4;6;0;6;0;0;0;0;0;1;1;0;3;98
2-9-2015;15:00-15:14;115;131;39;19;19;11;0;9;0;0;1;1;3;15;4;3;32;284
2-9-2015;15:15-15:29;31;70;69;12;21;31;0;12;0;0;2;1;0;5;1;1;19;217
2-9-2015;15:30-15:44;29;136;118;8;12;15;0;11;0;0;0;0;1;5;8;6;14;295
2-9-2015;15:45-15:59;18;129;110;11;13;1;0;12;0;0;0;0;1;4;0;5;13;271
2-9-2015;16:00-16:14;21;106;68;6;7;5;0;12;0;0;0;0;1;4;4;0;15;201
2-9-2015;16:15-16:29;131;120;119;21;18;24;0;5;0;0;0;1;1;7;10;7;29;383
2-9-2015;16:30-16:44;40;148;113;8;25;19;0;10;0;0;1;0;4;8;4;1;12;333
2-9-2015;16:45-16:59;38;181;57;14;14;19;0;6;0;0;0;1;1;6;8;3;10;300
2-9-2015;17:00-17:14;185;196;84;4;17;7;0;7;0;0;0;0;1;3;3;1;14;478
2-9-2015;17:15-17:29;35;136;47;8;31;78;0;4;0;0;0;0;1;8;7;2;7;314
2-9-2015;17:30-17:44;12;86;41;3;18;9;0;2;0;0;0;1;0;1;1;4;8;156
2-9-2015;17:45-17:59;115;162;92;7;22;9;1;3;0;0;0;0;2;3;4;2;25;375
2-9-2015;18:00-18:14;37;24;16;9;11;9;0;2;0;0;0;0;2;0;2;4;0;100
2-9-2015;18:15-18:29;21;61;29;4;8;4;0;4;0;0;0;0;4;4;3;3;4;113
2-9-2015;18:30-18:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-9-2015;18:45-18:59;15;36;30;4;13;12;0;0;0;0;0;1;2;3;3;3;8;90
2-9-2015;19:00-19:14;3;13;16;0;1;7;0;1;0;0;0;0;0;0;1;0;1;39
2-9-2015;19:15-19:29;0;10;10;2;1;3;0;0;0;0;0;0;0;1;0;1;3;21
2-9-2015;19:30-19:44;4;8;26;0;3;1;0;0;0;0;0;0;0;0;1;0;2;39
2-9-2015;19:45-19:59;10;16;27;1;3;3;0;1;0;0;0;0;0;4;1;0;1;55
2-9-2015;20:00-20:14;6;12;39;1;7;6;0;2;0;0;0;0;0;1;1;1;3;67
2-9-2015;20:15-20:29;5;20;15;6;5;3;0;1;0;0;0;0;1;2;3;1;3;45
2-9-2015;20:30-20:44;2;9;2;0;3;2;0;0;0;0;0;0;0;0;1;2;1;14
2-9-2015;20:45-20:59;3;11;5;1;7;9;0;0;0;0;0;0;0;0;1;1;3;31
2-9-2015;21:00-21:14;1;8;6;0;1;11;0;0;0;0;0;0;0;0;1;1;2;23
2-9-2015;21:15-21:29;2;10;20;3;1;7;0;1;0;0;0;0;0;1;2;0;0;41
2-9-2015;21:30-21:44;0;3;7;0;0;0;0;0;0;0;0;0;0;1;0;0;4;5
2-9-2015;21:45-21:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;6:00-6:14;0;0;1;2;0;0;0;3;0;0;0;0;0;0;0;0;0;6
3-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;6:30-6:44;0;7;0;0;0;5;0;4;0;0;0;0;0;0;0;0;1;15
3-9-2015;6:45-6:59;0;3;0;1;4;10;0;0;0;0;0;0;0;0;0;0;0;18
3-9-2015;7:00-7:14;2;2;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;8
3-9-2015;7:15-7:29;29;10;1;2;1;4;0;1;0;0;0;1;27;3;0;0;0;17
3-9-2015;7:30-7:44;15;6;1;2;7;13;0;7;0;0;0;0;0;1;3;0;1;46
3-9-2015;7:45-7:59;16;20;2;2;5;22;0;18;0;0;0;0;5;5;3;1;6;65
3-9-2015;8:00-8:14;7;11;2;0;6;14;3;6;0;0;0;0;1;5;2;0;6;35
3-9-2015;8:15-8:29;11;5;4;2;2;0;0;0;0;0;0;0;0;6;1;2;6;9
3-9-2015;8:30-8:44;30;12;8;0;0;15;0;8;0;0;1;0;4;0;2;1;1;64
3-9-2015;8:45-8:59;80;4;5;0;0;1;0;1;0;0;0;26;45;1;1;0;3;15
3-9-2015;9:00-9:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;9:15-9:29;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
3-9-2015;9:30-9:44;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3-9-2015;9:45-9:59;3;2;3;2;0;2;0;2;0;0;0;0;0;0;0;0;1;13
3-9-2015;10:00-10:14;1;3;0;1;5;4;0;2;0;0;0;0;1;0;0;1;1;13
3-9-2015;10:15-10:29;9;12;18;1;0;1;0;0;0;0;0;0;1;4;0;1;1;34
