;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
2-9-2015;6:00-6:14;134;4;0;0;0;0;0;0;0;0;6;0;4;4;4;81;28;11
2-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-9-2015;6:30-6:44;46;3;3;0;0;0;0;0;0;0;0;0;5;5;4;4;12;22
2-9-2015;6:45-6:59;43;1;1;0;2;1;0;0;0;0;0;0;10;9;5;5;3;16
2-9-2015;7:00-7:14;64;1;2;1;0;0;0;0;0;0;1;1;6;11;3;7;17;22
2-9-2015;7:15-7:29;121;4;2;1;3;0;0;0;0;0;4;1;5;24;3;10;58;26
2-9-2015;7:30-7:44;229;3;4;4;2;0;0;0;0;0;6;2;16;31;4;60;80;43
2-9-2015;7:45-7:59;185;3;2;7;7;4;0;0;0;0;2;1;7;16;5;79;63;35
2-9-2015;8:00-8:14;812;11;2;4;2;1;0;0;0;0;22;3;20;36;13;300;180;258
2-9-2015;8:15-8:29;783;11;0;9;14;0;1;0;0;0;33;0;11;18;16;202;218;320
2-9-2015;8:30-8:44;1404;23;10;7;9;1;1;0;0;0;59;10;29;39;29;322;523;444
2-9-2015;8:45-8:59;604;6;1;18;4;3;0;0;0;0;71;7;63;20;14;127;201;133
2-9-2015;9:00-9:14;369;25;2;5;1;1;0;1;0;0;39;9;37;15;13;86;73;132
2-9-2015;9:15-9:29;505;9;5;6;11;3;2;0;0;0;62;14;28;31;51;154;167;34
2-9-2015;9:30-9:44;220;1;1;2;0;0;0;0;0;0;30;0;5;3;13;60;103;10
2-9-2015;9:45-9:59;197;0;0;1;3;0;0;0;0;0;11;3;1;7;9;106;62;2
2-9-2015;10:00-10:14;215;8;6;2;3;4;0;0;0;0;18;1;11;8;9;108;71;12
